Date,Facebook Ad Campaign,Facebook Ad Views,Facebook Ad Clicks,Facebook Ad Conversions,Facebook Cost Per Ad,Facebook Click-Through Rate (Clicks / View),Facebook Conversion Rate (Conversions / Clicks),Facebook Cost per Click (Ad Cost / Clicks),AdWords Ad Campaign,"AdWords Ad Views
",AdWords Ad Clicks,AdWords Ad Conversions,"Cost per AdWords Ad
",AdWords Click-Through Rate (Clicks / View),"AdWords Conversion Rate (Conversions / Click)
",AdWords Cost per Click (Ad Cost / Clicks)
28/09/2022,FB_Sep2022,2850,49,28,$229,1.72%,57.14%,$4.67,AW_Sep2022,5217,42,7,$99,0.81%,16.67%,$2.36
12/10/2022,FB_Oct2022,2146,24,14,$141,1.12%,58.33%,$5.88,AW_Oct2022,5706,42,4,$127,0.74%,9.52%,$3.02
12/01/2023,FB_Jan2023,1527,40,28,$110,2.62%,70.00%,$2.75,AW_Jan2023,4902,42,16,$88,0.86%,38.10%,$2.10
13/01/2023,FB_Jan2023,1977,23,12,$71,1.16%,52.17%,$3.09,AW_Jan2023,5293,42,4,$178,0.79%,9.52%,$4.24
11/02/2023,FB_Feb2023,1517,23,18,$241,1.52%,78.26%,$10.48,AW_Feb2023,4433,42,24,$123,0.95%,57.14%,$2.93
10/04/2023,FB_Apr2023,1464,31,10,$221,2.12%,32.26%,$7.13,AW_Apr2023,5002,42,21,$171,0.84%,50.00%,$4.07
25/04/2023,FB_Apr2023,1753,25,18,$141,1.43%,72.00%,$5.64,AW_Apr2023,5343,42,21,$186,0.79%,50.00%,$4.43
24/06/2023,FB_Jun2023,2568,43,23,$109,1.67%,53.49%,$2.53,AW_Jun2023,5287,42,21,$115,0.79%,50.00%,$2.74
17/07/2023,FB_Jul2023,2562,22,7,$159,0.86%,31.82%,$7.23,AW_Jul2023,3927,42,4,$144,1.07%,9.52%,$3.43
11/08/2023,FB_Aug2023,2725,24,18,$185,0.88%,75.00%,$7.71,AW_Aug2023,4951,42,4,$199,0.85%,9.52%,$4.74
21/11/2023,FB_Nov2023,3300,37,23,$79,1.12%,62.16%,$2.14,AW_Nov2023,4091,42,24,$72,1.03%,57.14%,$1.71
29/12/2023,FB_Dec2023,2553,42,28,$235,1.65%,66.67%,$5.60,AW_Dec2023,5320,42,16,$118,0.79%,38.10%,$2.81
21/07/2024,FB_Jul2024,2093,26,19,$247,1.24%,73.08%,$9.50,AW_Jul2024,4594,42,7,$145,0.91%,16.67%,$3.45
02/01/2022,FB_Jan2022,1720,42,28,$247,2.44%,66.67%,$5.88,AW_Jan2022,5077,43,7,$57,0.85%,16.28%,$1.33
10/02/2022,FB_Feb2022,1300,30,11,$73,2.31%,36.67%,$2.43,AW_Feb2022,5462,43,16,$63,0.79%,37.21%,$1.47
05/04/2022,FB_Apr2022,1364,58,25,$141,4.25%,43.10%,$2.43,AW_Apr2022,4813,43,22,$150,0.89%,51.16%,$3.49
03/10/2022,FB_Oct2022,1557,28,18,$172,1.80%,64.29%,$6.14,AW_Oct2022,3879,43,19,$120,1.11%,44.19%,$2.79
16/03/2023,FB_Mar2023,1925,72,34,$128,3.74%,47.22%,$1.78,AW_Mar2023,3744,43,19,$148,1.15%,44.19%,$3.44
14/04/2023,FB_Apr2023,1054,20,12,$217,1.90%,60.00%,$10.85,AW_Apr2023,5591,43,21,$160,0.77%,48.84%,$3.72
17/04/2023,FB_Apr2023,1963,28,14,$218,1.43%,50.00%,$7.79,AW_Apr2023,4502,43,24,$72,0.96%,55.81%,$1.67
05/05/2023,FB_May2023,1312,29,11,$101,2.21%,37.93%,$3.48,AW_May2023,4155,43,16,$132,1.03%,37.21%,$3.07
21/06/2023,FB_Jun2023,3117,23,5,$143,0.74%,21.74%,$6.22,AW_Jun2023,5365,43,22,$127,0.80%,51.16%,$2.95
24/08/2023,FB_Aug2023,1289,26,18,$65,2.02%,69.23%,$2.50,AW_Aug2023,4578,43,21,$116,0.94%,48.84%,$2.70
23/09/2023,FB_Sep2023,2137,15,12,$187,0.70%,80.00%,$12.47,AW_Sep2023,4583,43,21,$179,0.94%,48.84%,$4.16
11/11/2023,FB_Nov2023,1594,50,23,$118,3.14%,46.00%,$2.36,AW_Nov2023,5333,43,22,$176,0.81%,51.16%,$4.09
13/11/2023,FB_Nov2023,2523,31,10,$120,1.23%,32.26%,$3.87,AW_Nov2023,5536,43,21,$196,0.78%,48.84%,$4.56
04/12/2023,FB_Dec2023,2336,23,13,$87,0.98%,56.52%,$3.78,AW_Dec2023,5060,43,24,$65,0.85%,55.81%,$1.51
23/01/2024,FB_Jan2024,1054,55,23,$160,5.22%,41.82%,$2.91,AW_Jan2024,3937,43,19,$184,1.09%,44.19%,$4.28
27/01/2024,FB_Jan2024,1146,41,26,$186,3.58%,63.41%,$4.54,AW_Jan2024,3728,43,16,$106,1.15%,37.21%,$2.47
23/02/2024,FB_Feb2024,1971,24,13,$151,1.22%,54.17%,$6.29,AW_Feb2024,3934,43,21,$159,1.09%,48.84%,$3.70
22/03/2024,FB_Mar2024,2138,62,31,$73,2.90%,50.00%,$1.18,AW_Mar2024,5621,43,22,$77,0.76%,51.16%,$1.79
27/03/2024,FB_Mar2024,2596,52,30,$121,2.00%,57.69%,$2.33,AW_Mar2024,5624,43,21,$144,0.76%,48.84%,$3.35
25/05/2024,FB_May2024,1805,69,30,$239,3.82%,43.48%,$3.46,AW_May2024,4807,43,24,$170,0.89%,55.81%,$3.95
16/07/2024,FB_Jul2024,2973,49,26,$93,1.65%,53.06%,$1.90,AW_Jul2024,5536,43,20,$185,0.78%,46.51%,$4.30
19/08/2024,FB_Aug2024,1975,68,28,$179,3.44%,41.18%,$2.63,AW_Aug2024,5310,43,22,$67,0.81%,51.16%,$1.56
25/01/2022,FB_Jan2022,2610,46,32,$208,1.76%,69.57%,$4.52,AW_Jan2022,5620,44,24,$188,0.78%,54.55%,$4.27
10/04/2022,FB_Apr2022,2577,73,33,$220,2.83%,45.21%,$3.01,AW_Apr2022,5217,44,24,$195,0.84%,54.55%,$4.43
24/05/2022,FB_May2022,1817,33,17,$201,1.82%,51.52%,$6.09,AW_May2022,5218,44,22,$140,0.84%,50.00%,$3.18
07/08/2022,FB_Aug2022,2812,73,45,$189,2.60%,61.64%,$2.59,AW_Aug2022,4557,44,22,$197,0.97%,50.00%,$4.48
13/08/2022,FB_Aug2022,1994,52,25,$107,2.61%,48.08%,$2.06,AW_Aug2022,3842,44,21,$97,1.15%,47.73%,$2.20
18/09/2022,FB_Sep2022,2378,26,15,$216,1.09%,57.69%,$8.31,AW_Sep2022,4077,44,24,$111,1.08%,54.55%,$2.52
03/11/2022,FB_Nov2022,1283,17,15,$153,1.33%,88.24%,$9.00,AW_Nov2022,4095,44,24,$200,1.07%,54.55%,$4.55
17/11/2022,FB_Nov2022,1182,31,13,$216,2.62%,41.94%,$6.97,AW_Nov2022,4071,44,22,$55,1.08%,50.00%,$1.25
18/12/2022,FB_Dec2022,3224,61,28,$101,1.89%,45.90%,$1.66,AW_Dec2022,4829,44,16,$119,0.91%,36.36%,$2.70
16/02/2023,FB_Feb2023,1594,71,34,$104,4.45%,47.89%,$1.46,AW_Feb2023,4753,44,11,$148,0.93%,25.00%,$3.36
09/10/2023,FB_Oct2023,1756,45,30,$68,2.56%,66.67%,$1.51,AW_Oct2023,4712,44,10,$100,0.93%,22.73%,$2.27
16/01/2024,FB_Jan2024,2019,23,9,$138,1.14%,39.13%,$6.00,AW_Jan2024,4800,44,10,$190,0.92%,22.73%,$4.32
23/03/2024,FB_Mar2024,1830,52,26,$73,2.84%,50.00%,$1.40,AW_Mar2024,5730,44,14,$146,0.77%,31.82%,$3.32
10/04/2024,FB_Apr2024,2217,66,30,$194,2.98%,45.45%,$2.94,AW_Apr2024,3722,44,22,$112,1.18%,50.00%,$2.55
17/04/2024,FB_Apr2024,1909,44,32,$226,2.30%,72.73%,$5.14,AW_Apr2024,5435,44,14,$65,0.81%,31.82%,$1.48
09/06/2024,FB_Jun2024,2892,29,14,$105,1.00%,48.28%,$3.62,AW_Jun2024,5001,44,22,$178,0.88%,50.00%,$4.05
13/01/2022,FB_Jan2022,2236,47,25,$169,2.10%,53.19%,$3.60,AW_Jan2022,5619,45,11,$52,0.80%,24.44%,$1.16
16/01/2022,FB_Jan2022,2196,20,6,$228,0.91%,30.00%,$11.40,AW_Jan2022,5286,45,22,$171,0.85%,48.89%,$3.80
13/02/2022,FB_Feb2022,1701,55,25,$113,3.23%,45.45%,$2.05,AW_Feb2022,4624,45,19,$76,0.97%,42.22%,$1.69
11/04/2022,FB_Apr2022,2228,28,18,$65,1.26%,64.29%,$2.32,AW_Apr2022,5750,45,19,$82,0.78%,42.22%,$1.82
22/07/2022,FB_Jul2022,2860,50,25,$177,1.75%,50.00%,$3.54,AW_Jul2022,5337,45,10,$79,0.84%,22.22%,$1.76
17/08/2022,FB_Aug2022,2002,69,28,$133,3.45%,40.58%,$1.93,AW_Aug2022,5565,45,22,$72,0.81%,48.89%,$1.60
09/11/2022,FB_Nov2022,1423,73,40,$232,5.13%,54.79%,$3.18,AW_Nov2022,5742,45,22,$86,0.78%,48.89%,$1.91
15/11/2022,FB_Nov2022,1217,37,18,$149,3.04%,48.65%,$4.03,AW_Nov2022,4965,45,22,$107,0.91%,48.89%,$2.38
20/12/2022,FB_Dec2022,2782,38,24,$223,1.37%,63.16%,$5.87,AW_Dec2022,4125,45,11,$61,1.09%,24.44%,$1.36
06/02/2023,FB_Feb2023,2681,51,22,$235,1.90%,43.14%,$4.61,AW_Feb2023,5177,45,11,$126,0.87%,24.44%,$2.80
12/03/2023,FB_Mar2023,2002,55,28,$234,2.75%,50.91%,$4.25,AW_Mar2023,5667,45,14,$191,0.79%,31.11%,$4.24
18/05/2023,FB_May2023,1573,42,26,$225,2.67%,61.90%,$5.36,AW_May2023,4493,45,16,$172,1.00%,35.56%,$3.82
22/05/2023,FB_May2023,1898,68,28,$247,3.58%,41.18%,$3.63,AW_May2023,4486,45,22,$147,1.00%,48.89%,$3.27
07/06/2023,FB_Jun2023,1548,24,18,$90,1.55%,75.00%,$3.75,AW_Jun2023,5716,45,16,$81,0.79%,35.56%,$1.80
22/06/2023,FB_Jun2023,3024,43,32,$171,1.42%,74.42%,$3.98,AW_Jun2023,5053,45,10,$133,0.89%,22.22%,$2.96
23/06/2023,FB_Jun2023,2685,48,32,$155,1.79%,66.67%,$3.23,AW_Jun2023,4201,45,22,$78,1.07%,48.89%,$1.73
23/07/2023,FB_Jul2023,2686,38,24,$124,1.41%,63.16%,$3.26,AW_Jul2023,4193,45,14,$170,1.07%,31.11%,$3.78
19/08/2023,FB_Aug2023,2865,33,23,$173,1.15%,69.70%,$5.24,AW_Aug2023,4530,45,14,$193,0.99%,31.11%,$4.29
11/01/2024,FB_Jan2024,2676,31,8,$241,1.16%,25.81%,$7.77,AW_Jan2024,4484,45,11,$76,1.00%,24.44%,$1.69
16/02/2024,FB_Feb2024,1945,66,30,$231,3.39%,45.45%,$3.50,AW_Feb2024,4908,45,14,$61,0.92%,31.11%,$1.36
20/04/2024,FB_Apr2024,1358,58,27,$117,4.27%,46.55%,$2.02,AW_Apr2024,4104,45,14,$61,1.10%,31.11%,$1.36
23/04/2024,FB_Apr2024,2832,42,32,$218,1.48%,76.19%,$5.19,AW_Apr2024,5004,45,16,$133,0.90%,35.56%,$2.96
28/04/2024,FB_Apr2024,2908,20,11,$195,0.69%,55.00%,$9.75,AW_Apr2024,4381,45,11,$80,1.03%,24.44%,$1.78
04/05/2024,FB_May2024,2163,26,10,$158,1.20%,38.46%,$6.08,AW_May2024,5090,45,10,$108,0.88%,22.22%,$2.40
19/05/2024,FB_May2024,2497,49,32,$214,1.96%,65.31%,$4.37,AW_May2024,5581,45,19,$84,0.81%,42.22%,$1.87
23/05/2024,FB_May2024,2427,68,28,$216,2.80%,41.18%,$3.18,AW_May2024,5617,45,22,$66,0.80%,48.89%,$1.47
11/01/2022,FB_Jan2022,2294,25,11,$117,1.09%,44.00%,$4.68,AW_Jan2022,3891,46,22,$191,1.18%,47.83%,$4.15
18/02/2022,FB_Feb2022,3044,46,28,$103,1.51%,60.87%,$2.24,AW_Feb2022,4033,46,22,$160,1.14%,47.83%,$3.48
16/03/2022,FB_Mar2022,2215,47,32,$120,2.12%,68.09%,$2.55,AW_Mar2022,5645,46,11,$193,0.81%,23.91%,$4.20
27/03/2022,FB_Mar2022,2168,53,24,$159,2.44%,45.28%,$3.00,AW_Mar2022,3966,46,22,$128,1.16%,47.83%,$2.78
13/04/2022,FB_Apr2022,3186,16,7,$192,0.50%,43.75%,$12.00,AW_Apr2022,3998,46,11,$153,1.15%,23.91%,$3.33
30/05/2022,FB_May2022,2379,60,30,$128,2.52%,50.00%,$2.13,AW_May2022,3965,46,22,$155,1.16%,47.83%,$3.37
02/06/2022,FB_Jun2022,1915,26,8,$181,1.36%,30.77%,$6.96,AW_Jun2022,3901,46,19,$170,1.18%,41.30%,$3.70
03/12/2022,FB_Dec2022,1489,54,24,$222,3.63%,44.44%,$4.11,AW_Dec2022,3758,46,16,$71,1.22%,34.78%,$1.54
14/12/2022,FB_Dec2022,2812,23,15,$249,0.82%,65.22%,$10.83,AW_Dec2022,5463,46,22,$178,0.84%,47.83%,$3.87
25/03/2023,FB_Mar2023,1746,25,10,$145,1.43%,40.00%,$5.80,AW_Mar2023,4367,46,10,$191,1.05%,21.74%,$4.15
20/08/2023,FB_Aug2023,2007,21,13,$180,1.05%,61.90%,$8.57,AW_Aug2023,4016,46,10,$180,1.15%,21.74%,$3.91
29/09/2023,FB_Sep2023,1795,52,28,$211,2.90%,53.85%,$4.06,AW_Sep2023,3833,46,22,$200,1.20%,47.83%,$4.35
01/10/2023,FB_Oct2023,2765,55,26,$231,1.99%,47.27%,$4.20,AW_Oct2023,5454,46,10,$188,0.84%,21.74%,$4.09
16/12/2023,FB_Dec2023,2876,30,9,$115,1.04%,30.00%,$3.83,AW_Dec2023,4131,46,22,$176,1.11%,47.83%,$3.83
15/02/2024,FB_Feb2024,2059,57,27,$176,2.77%,47.37%,$3.09,AW_Feb2024,5086,46,10,$80,0.90%,21.74%,$1.74
01/03/2024,FB_Mar2024,1418,32,19,$239,2.26%,59.38%,$7.47,AW_Mar2024,5559,46,14,$156,0.83%,30.43%,$3.39
29/12/2021,FB_Dec2021,1598,29,12,$216,1.81%,41.38%,$7.45,AW_Dec2021,3745,47,22,$120,1.26%,46.81%,$2.55
06/03/2022,FB_Mar2022,1179,37,19,$69,3.14%,51.35%,$1.86,AW_Mar2022,5672,47,14,$142,0.83%,29.79%,$3.02
24/03/2022,FB_Mar2022,2148,20,5,$111,0.93%,25.00%,$5.55,AW_Mar2022,3909,47,14,$123,1.20%,29.79%,$2.62
14/05/2022,FB_May2022,1189,26,18,$110,2.19%,69.23%,$4.23,AW_May2022,5098,47,19,$170,0.92%,40.43%,$3.62
29/06/2022,FB_Jun2022,1196,28,18,$168,2.34%,64.29%,$6.00,AW_Jun2022,3784,47,22,$157,1.24%,46.81%,$3.34
07/09/2022,FB_Sep2022,1593,72,28,$211,4.52%,38.89%,$2.93,AW_Sep2022,3830,47,11,$147,1.23%,23.40%,$3.13
29/09/2022,FB_Sep2022,2351,18,8,$117,0.77%,44.44%,$6.50,AW_Sep2022,3722,47,14,$125,1.26%,29.79%,$2.66
11/10/2022,FB_Oct2022,1838,31,19,$140,1.69%,61.29%,$4.52,AW_Oct2022,4286,47,22,$113,1.10%,46.81%,$2.40
27/03/2023,FB_Mar2023,1788,21,5,$139,1.17%,23.81%,$6.62,AW_Mar2023,5518,47,19,$112,0.85%,40.43%,$2.38
04/01/2024,FB_Jan2024,3055,40,25,$91,1.31%,62.50%,$2.28,AW_Jan2024,4964,47,14,$77,0.95%,29.79%,$1.64
08/04/2024,FB_Apr2024,2445,23,14,$235,0.94%,60.87%,$10.22,AW_Apr2024,5706,47,10,$120,0.82%,21.28%,$2.55
08/07/2024,FB_Jul2024,2731,68,30,$180,2.49%,44.12%,$2.65,AW_Jul2024,5238,47,14,$66,0.90%,29.79%,$1.40
23/07/2024,FB_Jul2024,1865,28,14,$220,1.50%,50.00%,$7.86,AW_Jul2024,5705,47,22,$79,0.82%,46.81%,$1.68
24/07/2024,FB_Jul2024,1431,57,27,$185,3.98%,47.37%,$3.25,AW_Jul2024,4965,47,22,$111,0.95%,46.81%,$2.36
06/01/2022,FB_Jan2022,2911,58,30,$171,1.99%,51.72%,$2.95,AW_Jan2022,4639,48,14,$128,1.03%,29.17%,$2.67
21/02/2022,FB_Feb2022,1679,64,30,$186,3.81%,46.88%,$2.91,AW_Feb2022,4770,48,19,$175,1.01%,39.58%,$3.65
20/04/2022,FB_Apr2022,2156,46,25,$137,2.13%,54.35%,$2.98,AW_Apr2022,3752,48,22,$56,1.28%,45.83%,$1.17
06/05/2022,FB_May2022,1495,20,5,$120,1.34%,25.00%,$6.00,AW_May2022,4445,48,19,$161,1.08%,39.58%,$3.35
17/05/2022,FB_May2022,1718,48,28,$213,2.79%,58.33%,$4.44,AW_May2022,4021,48,22,$124,1.19%,45.83%,$2.58
25/05/2022,FB_May2022,1054,16,13,$85,1.52%,81.25%,$5.31,AW_May2022,4736,48,16,$149,1.01%,33.33%,$3.10
15/07/2022,FB_Jul2022,3160,53,28,$172,1.68%,52.83%,$3.25,AW_Jul2022,5563,48,14,$152,0.86%,29.17%,$3.17
31/10/2022,FB_Oct2022,1734,30,13,$60,1.73%,43.33%,$2.00,AW_Oct2022,4426,48,16,$141,1.08%,33.33%,$2.94
25/12/2022,FB_Dec2022,1156,38,14,$181,3.29%,36.84%,$4.76,AW_Dec2022,5290,48,14,$91,0.91%,29.17%,$1.90
04/01/2023,FB_Jan2023,1659,70,34,$219,4.22%,48.57%,$3.13,AW_Jan2023,5603,48,22,$114,0.86%,45.83%,$2.38
08/06/2023,FB_Jun2023,2798,32,12,$216,1.14%,37.50%,$6.75,AW_Jun2023,5472,48,10,$122,0.88%,20.83%,$2.54
14/06/2023,FB_Jun2023,1862,61,30,$249,3.28%,49.18%,$4.08,AW_Jun2023,4008,48,19,$127,1.20%,39.58%,$2.65
27/07/2023,FB_Jul2023,2562,20,15,$103,0.78%,75.00%,$5.15,AW_Jul2023,4668,48,16,$96,1.03%,33.33%,$2.00
13/09/2023,FB_Sep2023,2187,48,28,$230,2.19%,58.33%,$4.79,AW_Sep2023,4654,48,16,$95,1.03%,33.33%,$1.98
08/10/2023,FB_Oct2023,1984,47,32,$137,2.37%,68.09%,$2.91,AW_Oct2023,5693,48,10,$121,0.84%,20.83%,$2.52
13/12/2023,FB_Dec2023,1477,40,23,$69,2.71%,57.50%,$1.73,AW_Dec2023,5455,48,14,$128,0.88%,29.17%,$2.67
12/01/2024,FB_Jan2024,2327,57,28,$83,2.45%,49.12%,$1.46,AW_Jan2024,4756,48,22,$74,1.01%,45.83%,$1.54
18/01/2024,FB_Jan2024,2351,48,24,$99,2.04%,50.00%,$2.06,AW_Jan2024,5514,48,14,$132,0.87%,29.17%,$2.75
19/01/2024,FB_Jan2024,2679,38,24,$72,1.42%,63.16%,$1.89,AW_Jan2024,5638,48,11,$190,0.85%,22.92%,$3.96
07/04/2024,FB_Apr2024,1214,54,28,$169,4.45%,51.85%,$3.13,AW_Apr2024,4824,48,22,$190,1.00%,45.83%,$3.96
02/06/2024,FB_Jun2024,2457,58,26,$179,2.36%,44.83%,$3.09,AW_Jun2024,4250,48,14,$89,1.13%,29.17%,$1.85
18/06/2024,FB_Jun2024,1763,33,19,$243,1.87%,57.58%,$7.36,AW_Jun2024,4627,48,16,$98,1.04%,33.33%,$2.04
20/07/2024,FB_Jul2024,1830,58,26,$226,3.17%,44.83%,$3.90,AW_Jul2024,4159,48,22,$61,1.15%,45.83%,$1.27
24/08/2024,FB_Aug2024,1505,32,13,$211,2.13%,40.63%,$6.59,AW_Aug2024,5402,48,22,$157,0.89%,45.83%,$3.27
26/08/2024,FB_Aug2024,1271,35,13,$96,2.75%,37.14%,$2.74,AW_Aug2024,5095,48,19,$125,0.94%,39.58%,$2.60
22/01/2022,FB_Jan2022,2706,68,31,$122,2.51%,45.59%,$1.79,AW_Jan2022,4179,49,11,$178,1.17%,22.45%,$3.63
18/03/2022,FB_Mar2022,1982,44,25,$118,2.22%,56.82%,$2.68,AW_Mar2022,5211,49,19,$139,0.94%,38.78%,$2.84
29/03/2022,FB_Mar2022,1782,59,35,$117,3.31%,59.32%,$1.98,AW_Mar2022,5030,49,22,$84,0.97%,44.90%,$1.71
31/03/2022,FB_Mar2022,2164,16,6,$215,0.74%,37.50%,$13.44,AW_Mar2022,4043,49,14,$103,1.21%,28.57%,$2.10
11/05/2022,FB_May2022,2560,41,32,$192,1.60%,78.05%,$4.68,AW_May2022,5376,49,16,$176,0.91%,32.65%,$3.59
13/06/2022,FB_Jun2022,2693,40,20,$128,1.49%,50.00%,$3.20,AW_Jun2022,3903,49,11,$192,1.26%,22.45%,$3.92
18/06/2022,FB_Jun2022,1351,34,24,$158,2.52%,70.59%,$4.65,AW_Jun2022,3955,49,14,$166,1.24%,28.57%,$3.39
20/06/2022,FB_Jun2022,1945,50,26,$238,2.57%,52.00%,$4.76,AW_Jun2022,5363,49,14,$78,0.91%,28.57%,$1.59
16/08/2022,FB_Aug2022,1900,35,23,$61,1.84%,65.71%,$1.74,AW_Aug2022,5362,49,16,$107,0.91%,32.65%,$2.18
22/08/2022,FB_Aug2022,3235,42,23,$208,1.30%,54.76%,$4.95,AW_Aug2022,5430,49,16,$96,0.90%,32.65%,$1.96
24/08/2022,FB_Aug2022,3276,29,8,$162,0.89%,27.59%,$5.59,AW_Aug2022,4271,49,22,$164,1.15%,44.90%,$3.35
01/09/2022,FB_Sep2022,2152,63,28,$99,2.93%,44.44%,$1.57,AW_Sep2022,4331,49,22,$145,1.13%,44.90%,$2.96
12/09/2022,FB_Sep2022,2971,44,23,$151,1.48%,52.27%,$3.43,AW_Sep2022,5445,49,22,$121,0.90%,44.90%,$2.47
01/10/2022,FB_Oct2022,3056,53,28,$69,1.73%,52.83%,$1.30,AW_Oct2022,5000,49,14,$109,0.98%,28.57%,$2.22
26/10/2022,FB_Oct2022,1974,52,25,$109,2.63%,48.08%,$2.10,AW_Oct2022,3818,49,19,$98,1.28%,38.78%,$2.00
23/12/2022,FB_Dec2022,1280,17,14,$211,1.33%,82.35%,$12.41,AW_Dec2022,4924,49,22,$88,1.00%,44.90%,$1.80
03/04/2023,FB_Apr2023,2408,41,32,$134,1.70%,78.05%,$3.27,AW_Apr2023,3927,49,14,$58,1.25%,28.57%,$1.18
15/04/2023,FB_Apr2023,2856,17,5,$88,0.60%,29.41%,$5.18,AW_Apr2023,5281,49,14,$117,0.93%,28.57%,$2.39
07/08/2023,FB_Aug2023,1805,52,28,$77,2.88%,53.85%,$1.48,AW_Aug2023,5434,49,22,$120,0.90%,44.90%,$2.45
21/09/2023,FB_Sep2023,1371,46,30,$101,3.36%,65.22%,$2.20,AW_Sep2023,4638,49,11,$71,1.06%,22.45%,$1.45
27/02/2024,FB_Feb2024,2485,58,25,$240,2.33%,43.10%,$4.14,AW_Feb2024,4822,49,16,$190,1.02%,32.65%,$3.88
03/03/2024,FB_Mar2024,1223,34,20,$243,2.78%,58.82%,$7.15,AW_Mar2024,5421,49,20,$76,0.90%,40.82%,$1.55
14/01/2022,FB_Jan2022,2269,62,37,$102,2.73%,59.68%,$1.65,AW_Jan2022,4531,50,22,$98,1.10%,44.00%,$1.96
25/02/2022,FB_Feb2022,2857,57,25,$215,2.00%,43.86%,$3.77,AW_Feb2022,5660,50,24,$170,0.88%,48.00%,$3.40
03/07/2022,FB_Jul2022,2150,26,12,$159,1.21%,46.15%,$6.12,AW_Jul2022,4060,50,24,$105,1.23%,48.00%,$2.10
23/07/2022,FB_Jul2022,1319,49,26,$98,3.71%,53.06%,$2.00,AW_Jul2022,3850,50,22,$150,1.30%,44.00%,$3.00
09/08/2022,FB_Aug2022,2602,47,26,$157,1.81%,55.32%,$3.34,AW_Aug2022,4561,50,21,$89,1.10%,42.00%,$1.78
11/11/2022,FB_Nov2022,1551,24,8,$156,1.55%,33.33%,$6.50,AW_Nov2022,5614,50,24,$67,0.89%,48.00%,$1.34
14/11/2022,FB_Nov2022,1852,30,18,$114,1.62%,60.00%,$3.80,AW_Nov2022,5707,50,16,$83,0.88%,32.00%,$1.66
04/06/2023,FB_Jun2023,3262,38,15,$98,1.16%,39.47%,$2.58,AW_Jun2023,4643,50,22,$73,1.08%,44.00%,$1.46
26/09/2023,FB_Sep2023,2153,37,24,$79,1.72%,64.86%,$2.14,AW_Sep2023,5292,50,19,$149,0.94%,38.00%,$2.98
18/10/2023,FB_Oct2023,1630,15,14,$248,0.92%,93.33%,$16.53,AW_Oct2023,5609,50,24,$195,0.89%,48.00%,$3.90
07/02/2024,FB_Feb2024,1771,63,30,$126,3.56%,47.62%,$2.00,AW_Feb2024,3992,50,20,$169,1.25%,40.00%,$3.38
11/05/2024,FB_May2024,1683,53,28,$231,3.15%,52.83%,$4.36,AW_May2024,4486,50,22,$111,1.11%,44.00%,$2.22
27/07/2024,FB_Jul2024,2623,45,24,$181,1.72%,53.33%,$4.02,AW_Jul2024,3883,50,19,$60,1.29%,38.00%,$1.20
04/01/2022,FB_Jan2022,1325,47,28,$216,3.55%,59.57%,$4.60,AW_Jan2022,4301,51,20,$61,1.19%,39.22%,$1.20
01/04/2022,FB_Apr2022,1603,55,27,$72,3.43%,49.09%,$1.31,AW_Apr2022,5154,51,21,$197,0.99%,41.18%,$3.86
24/06/2022,FB_Jun2022,2446,54,28,$248,2.21%,51.85%,$4.59,AW_Jun2022,3934,51,22,$130,1.30%,43.14%,$2.55
14/07/2022,FB_Jul2022,1282,44,25,$182,3.43%,56.82%,$4.14,AW_Jul2022,5337,51,22,$144,0.96%,43.14%,$2.82
30/09/2022,FB_Sep2022,3023,26,14,$125,0.86%,53.85%,$4.81,AW_Sep2022,5696,51,24,$67,0.90%,47.06%,$1.31
09/10/2022,FB_Oct2022,1886,46,27,$246,2.44%,58.70%,$5.35,AW_Oct2022,4227,51,24,$82,1.21%,47.06%,$1.61
05/01/2023,FB_Jan2023,2131,50,26,$117,2.35%,52.00%,$2.34,AW_Jan2023,4859,51,22,$51,1.05%,43.14%,$1.00
13/02/2023,FB_Feb2023,2856,59,28,$110,2.07%,47.46%,$1.86,AW_Feb2023,4891,51,20,$170,1.04%,39.22%,$3.33
17/05/2023,FB_May2023,2982,72,35,$183,2.41%,48.61%,$2.54,AW_May2023,5425,51,24,$86,0.94%,47.06%,$1.69
12/09/2023,FB_Sep2023,1431,33,17,$193,2.31%,51.52%,$5.85,AW_Sep2023,4940,51,23,$131,1.03%,45.10%,$2.57
27/09/2023,FB_Sep2023,2216,46,25,$223,2.08%,54.35%,$4.85,AW_Sep2023,5469,51,21,$68,0.93%,41.18%,$1.33
14/12/2023,FB_Dec2023,2147,32,8,$180,1.49%,25.00%,$5.63,AW_Dec2023,5480,51,21,$129,0.93%,41.18%,$2.53
15/01/2024,FB_Jan2024,2295,67,30,$192,2.92%,44.78%,$2.87,AW_Jan2024,5151,51,25,$189,0.99%,49.02%,$3.71
25/02/2024,FB_Feb2024,2808,34,24,$130,1.21%,70.59%,$3.82,AW_Feb2024,5022,51,21,$164,1.02%,41.18%,$3.22
24/04/2024,FB_Apr2024,1162,39,14,$248,3.36%,35.90%,$6.36,AW_Apr2024,4864,51,21,$124,1.05%,41.18%,$2.43
24/06/2024,FB_Jun2024,2662,38,17,$218,1.43%,44.74%,$5.74,AW_Jun2024,5132,51,23,$116,0.99%,45.10%,$2.27
25/04/2022,FB_Apr2022,3270,57,26,$235,1.74%,45.61%,$4.12,AW_Apr2022,4605,52,24,$64,1.13%,46.15%,$1.23
